geoshape_city_id,名称,郡,出典
09B0060001,永野村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060002,加蘇村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060003,菊沢村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060004,今市町,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060005,鹿沼町,上都賀郡,市町村制施行時 (1889)
09B0060006,小来川村,上都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 町村合併促進法公布時 (1953)
09B0060007,真名子村,上都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060008,清洲村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060009,西大芦村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060010,東大芦村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060011,南押原村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060012,南摩村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060013,日光町,上都賀郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060014,粕尾村,上都賀郡,町村合併促進法公布時 (1953)
09B0060015,板荷村,上都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 町村合併促進法公布時 (1953)
09B0060016,北押原村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060017,北犬飼村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0060018,落合村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070001,久野村,足利郡/梁田郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070002,吾妻村,足利郡,市町村制施行時 (1889)
09B0070003,御厨村,梁田郡,市町村制施行時 (1889)
09B0070004,御厨町,足利郡,町村合併促進法公布時 (1953)
09B0070006,三重村,足利郡,町村合併促進法公布時 (1953)
09B0070007,三和村,足利郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070008,山前村,足利郡,町村合併促進法公布時 (1953)
09B0070009,山辺村,梁田郡,市町村制施行時 (1889)
09B0070011,小俣村,足利郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0070012,小俣町,足利郡,町村合併促進法公布時 (1953)
09B0070013,足利町,足利郡,明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0070014,筑波村,足利郡/梁田郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070015,菱村,足利郡,市区町村制 (1889) / 町村合併促進法 (1953)
09B0070016,富田村,足利郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070017,北郷村,足利郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0070018,名草村,足利郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 町村合併促進法公布時 (1953)
09B0070019,毛野村,足利郡,市町村制施行時 (1889)
09B0070021,葉鹿町,足利郡,町村合併促進法公布時 (1953)
09B0070022,簗田村/梁田村/簗田宿,足利郡/梁田郡/簗田郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080001,芦野町/芦野村/蘆野宿,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080002,伊王野村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080003,下江川村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080004,境村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080005,金田村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080006,向田村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080007,荒川村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080008,高林村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080009,佐久山町/佐久山宿/佐久山村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080010,七合村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080011,狩野村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080012,上江川村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080013,親園村,那須郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080014,須賀川村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080015,西那須野村,那須郡,市町村制施行時 (1889)
09B0080016,川西町,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080017,大山田村,那須郡,慶安郷帳 (1648) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080018,大田原町,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080019,大内村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080020,東那須野村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080021,那珂村,那須郡,市町村制施行時 (1889)
09B0080022,那須村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080023,鍋掛村/鍋掛宿,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080024,武茂村,那須郡,町村合併促進法公布時 (1953)
09B0080025,野崎村,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0080026,両郷村,那須郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090001,逆川村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090002,久下田町,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090003,山前村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090004,市羽村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090005,七井村,芳賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090006,小貝村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090007,真岡町,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090008,須藤村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090009,水橋村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090010,清原村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090011,祖母井村,芳賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0090012,祖母井町,芳賀郡,町村合併促進法公布時 (1953)
09B0090013,大内村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090014,中川村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090015,中村,芳賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090016,長沼村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
